Dataset / Source,URL,Data Type,Time Range,Key Variables,Recommended Joins,Composite Rank (1–5),Justification
KNBS – Real Estate Survey,https://www.knbs.or.ke/reports/2023-24-real-estate-survey-report/,PDF / XLS,2023–2024 (and earlier),"Sale prices, rental rates, property types, finance",Join by county/region with Census and CPI,4,"Official and structured, limited by PDF format; strong join potential with spatial data"
KBA – Housing Price Index (KBA-HPI),https://www.kba.co.ke/housing-price-index/,Web report / Index,2014–Present (quarterly),"Housing price index, QoQ change, trend series",Join with CPI (for real terms) and income series (by year/quarter),4,"Clean index-level data, official source, easy to update; lacks fine spatial granularity"
HassConsult – Hass Property Index,https://hassconsult.co.ke/,Web / PDF / Table,2001–Present (quarterly),"Property prices, rent indices, by property type and location",Join with KBA-HPI and CPI for trend comparison,3,"Useful for benchmarking, especially for middle/upper market; data extraction may be manual"
Kaggle – Nairobi House Prices Dataset,https://www.kaggle.com/datasets/destro7/nairobi-house-prices-dataset,CSV,~2019–2023,"Property-level data (location, price, size, bedrooms)",Join with spatial shapefiles (ward/subcounty) for geocoding,3,"Granular, open, but requires cleaning, deduplication, and bias checks"
Kenya Property Centre Listings,https://kenyapropertycentre.com/market-trends/average-prices,HTML / Scrape,Ongoing,Average sale/rent by neighborhood,Join with census spatial boundaries by ward/subcounty,2,Good for current prices; unstructured and biased; web scraping required
Kenya Integrated Household Budget Survey (KIHBS),https://www.knbs.or.ke/portals/,Microdata / CSV,"2005/06, 2015/16","Household income, expenditure, rent share, demographics",Join with census (county/ward) and CPI (for real income),5,Core dataset for affordability ratio analysis; rich microdata; restricted access but high quality
KeNADA Microdata Catalog,https://statistics.knbs.or.ke/nada/index.php,API / JSON / CSV metadata,2005–2023,"Survey metadata, income, consumption, demographics",Join via enumeration area or region codes with census,5,Highly structured API catalog for KNBS datasets; essential for sourcing survey microdata
IFPRI Kenya Datasets,https://dataverse.harvard.edu/dataverse/IFPRI,CSV / DTA,Various years,"Household characteristics, assets, agricultural data",Join by county or region with KIHBS or Census,3,Valuable enrichment for socioeconomic context; limited Nairobi focus
Kenya Population & Housing Census 2019,https://open.africa/dataset/2019-kenya-population-and-housing-census,CSV / Shapefile,2019,"Population, households, housing tenure, access to utilities",Primary spatial join layer (ward/subcounty) for all datasets,5,Highly joinable spatial-demographic baseline; official and open
WRI / IGISMAP – Administrative Boundaries,https://www.igismap.com/kenya-shapefile-download-boundary-line-administrative-state-and-polygon/,Shapefile / GeoJSON,Current,"Geometries for counties, subcounties, wards",Join spatially with Census and survey data,4,Essential for mapping; open source; ensure alignment with KNBS boundaries
KNBS / NSO-Kenya – CPI (Housing Component),https://nso-kenya.opendataforafrica.org/,CSV / JSON,2000–Present,"CPI, inflation by component (housing, utilities)","Join with all monetary series (prices, incomes) by month/year",5,"High usability, open, regular updates; key for adjusting nominal to real values"
CEIC – Nairobi CPI Housing,https://www.ceicdata.com/en/kenya/consumer-price-index-cpi-nairobi-housing,Web / Subscription,2000s–Present,City-specific CPI (housing component),Join with housing prices or income series (Nairobi-specific),3,Granular and city-level but paywalled; use if available for added precision
Kenya Open Data / Knoema,https://nso-kenya.opendataforafrica.org/,CSV / Portal,2010–Present,"GDP, cost of living, utilities, infrastructure indicators",Join by year/county; enrich dashboard contextual metrics,4,Good for macro context; open data; varying update frequency
CAHF – Housing Developments (Nairobi Metro),https://housingfinanceafrica.org/library/housing-developments-in-the-nairobi-metropolitan-area/,Dashboard / CSV / Web,2010–Present,"Housing projects (supply, type, location)",Join with Census / spatial layers by county,3,Good for visualizing supply-side data; partial coverage
