Dataset / Source,Type,Link,Coverage Period,Key Variables,Notes
KNBS – Real Estate Survey,Report (PDF),https://www.knbs.or.ke/reports/2023-24-real-estate-survey-report/,2023–2024,"Sale prices, rental rates, property types, financing","Official survey, PDF format; limited machine-readable data"
KNBS – Kenya Housing Survey (KHS),Survey / Excel / PDF,https://www.knbs.or.ke/reports/2023-24-kenya-housing-survey-basic-report/,2023–2024,"Affordability metrics, housing quality, tenure, utilities",High-quality national data; microdata access may require request
CAHF – Housing Developments (Nairobi Metro),CSV / Dashboard,https://housingfinanceafrica.org/library/housing-developments-in-the-nairobi-metropolitan-area/,2010–Present,"Project-level housing supply, location, project type",Good coverage; focuses on supply side
KBA – Housing Price Index,Report / Index (PDF),https://www.kba.co.ke/house-prices-drop-eases-homeownership-creates-challenges-for-developers/,Quarterly (Recent years),"Housing price index, quarterly trends",Good trend data; aggregate index only
Kaggle – Nairobi House Prices,CSV,https://www.kaggle.com/datasets/destro7/nairobi-house-prices-dataset,Varies (~2019–2023),"Property attributes: price, bedrooms, location, size","Unofficial, community dataset; requires validation"
Kenya Property Centre – Market Trends,Web / HTML (scrapable),https://kenyapropertycentre.com/market-trends/average-prices,Ongoing,Average sale & rent prices by neighborhood,Private listing data; may be biased toward formal market
KNBS – KeNADA Microdata Portal,API / JSON / CSV,https://statistics.knbs.or.ke/nada/index.php,Various (2005–2023),"Household income, consumption, housing costs",Rich microdata; access often restricted
World Bank – WDI (Kenya),API / CSV / JSON,https://data.worldbank.org/indicator/NY.GNP.PCAP.PP.CD?locations=KE,1960–2024,"GDP, GNI per capita, poverty rates",Country-level aggregates; no city disaggregation
KIHBS – Household Budget Survey,Survey / CSV,https://www.knbs.or.ke/portals/,"2005/06, 2015/16","Household income, expenditure, rent share",Key affordability input; limited spatial granularity
FinAccess Household Survey,Survey / PDF / XLS,https://www.knbs.or.ke/portals/,2021,"Financial inclusion, income, savings, credit access",Complementary socio-economic dataset
2019 Kenya Population & Housing Census,CSV / Shapefile,https://open.africa/dataset/2019-kenya-population-and-housing-census,2019,"Population, households, housing conditions",Official census; good spatial granularity
Kenya Population & Household Dataset (EnergyData.info),JSON / SHP,https://energydata.info/dataset/kenya-population-and-household-dataset,2009–2016,"Population, households, enumeration areas",Derived dataset; good for spatial overlays
Kenya Administrative Boundaries (IGISMAP),Shapefile / GeoJSON,https://www.igismap.com/kenya-shapefile-download-boundary-line-administrative-state-and-polygon/,Current,"Counties, sub-counties, wards, boundaries",Static reference spatial data
KNBS GIS Census Mapping,Spatial / Report,https://www.knbs.or.ke/use-of-geographic-information-system-and-geo-spatial-technology-in-managing-and-mapping-for-the-2019-kenya-population-and-housing-census/,2019,Census GIS framework and enumeration areas,Reference for spatial consistency
KNBS – Consumer Price Index (Housing Component),CSV / JSON,https://nso-kenya.opendataforafrica.org/,2000–2024,"CPI, inflation (housing, utilities)",Official CPI; monthly updates
OpenAFRICA – CPI & Cost of Living,CSV,https://open.africa/dataset/?q=Kenya&res_format=CSV,2018–2024,"CPI, inflation indices",Supplementary / overlapping with KNBS
"World Bank – Inflation, PPP",API / CSV,https://data.worldbank.org/?locations=KE-XN,1960–2024,"Inflation rate, PPP, real income",Global consistency; macro-level
World Bank – Spatial Housing & Poverty in Nairobi,PDF / XLS,https://documents1.worldbank.org/curated/en/141031543263379480/pdf/WPS8654.pdf,2018,"Spatial rent models, poverty, job access",Useful model-based spatial layer
